                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.88461,                 5.6648,                0.91157,                0.02304,                    0.5,                0.03015,                0.02342,                0.69554,                 6.3111,                0.88133,                    0.1,                      0,                      0
                      1,                0.91019,                 6.2579,                0.89189,                0.02296,                    0.5,                0.02816,                0.02109,                0.69532,                 6.2416,                0.87977,               0.099099,              9.901e-05,              9.901e-05
                      2,                0.89298,                 6.5839,                0.87995,                 0.0228,                    0.5,                0.02829,                0.02119,                0.69459,                 6.1795,                0.87953,               0.098196,             0.00019604,             0.00019604
                      3,                 0.8087,                 5.3533,                0.86388,                0.02112,                    0.5,                0.02642,                 0.0198,                0.70302,                 6.1103,                 0.8804,               0.097291,             0.00029109,             0.00029109
                      4,                 0.8968,                 6.5245,                0.94827,                0.02012,                    0.5,                0.02562,                0.01917,                0.70699,                 6.0567,                0.88064,               0.096384,             0.00038416,             0.00038416
                      5,                0.85312,                 6.9987,                0.88571,                0.02051,                    0.5,                0.02507,                0.01853,                0.70619,                 5.9422,                0.88211,               0.095475,             0.00047525,             0.00047525
                      6,                0.97825,                 6.6179,                0.91027,                0.02023,                    0.5,                0.02442,                0.01788,                0.71318,                  5.925,                0.88326,               0.094564,             0.00056436,             0.00056436
                      7,                0.98167,                 7.0619,                0.90901,                0.02057,                    0.5,                0.02429,                0.01791,                 0.7181,                 5.8983,                0.88567,               0.093651,             0.00065149,             0.00065149
                      8,                0.78251,                  6.361,                0.91639,                0.02044,                    0.5,                0.02387,                0.01742,                0.72385,                 5.9743,                0.88666,               0.092737,             0.00073664,             0.00073664
                      9,                0.92737,                 5.6898,                0.91195,                0.02119,                    0.5,                0.02385,                0.01759,                0.72104,                  5.976,                0.88686,                0.09182,             0.00081981,             0.00081981
                     10,                0.86926,                 5.8076,                0.87402,                0.12121,                0.16667,                0.06035,                0.04798,                0.69453,                  3.765,                0.87469,               0.090901,               0.000901,               0.000901
                     11,                0.78895,                  5.266,                0.83552,                0.37757,                0.33333,                0.36345,                  0.315,                0.67004,                 2.6277,                0.86837,                0.08998,             0.00098021,             0.00098021
                     12,                0.86134,                 2.9434,                0.85932,                      1,                0.49813,                0.82344,                0.70883,                0.64715,                 2.0208,                0.86137,               0.089057,              0.0010574,              0.0010574
