                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99387,                 4.4331,                0.94137,                0.00266,                0.80833,                0.00289,                0.00188,                0.67839,                 3.8682,                0.83359,                 0.0937,                 0.0007,                 0.0007
                      1,                0.72687,                 4.0419,                0.86871,                0.00356,                      1,                0.00443,                0.00364,                0.57587,                 3.6748,                0.79554,               0.086495,               0.001495,               0.001495
                      2,                0.70069,                 2.3534,                0.84804,                0.00286,                   0.85,                0.01113,                0.00942,                0.69236,                 3.5565,                0.81318,               0.079285,              0.0022848,              0.0022848
                      3,                0.64801,                 2.2072,                0.82082,                0.00361,                      1,                0.47073,                0.38441,                0.67256,                 3.4916,                0.82596,               0.072069,              0.0030693,              0.0030693
                      4,                0.70827,                 1.7383,                0.83331,                 0.0041,                0.98333,                0.50425,                0.38713,                 0.7119,                 3.4771,                0.83207,               0.064849,              0.0038485,              0.0038485
                      5,                0.76039,                 1.3906,                 0.8507,                0.00434,                      1,                0.52681,                0.41611,                0.63132,                 3.2991,                0.81575,               0.057622,              0.0046225,              0.0046225
                      6,                0.74473,                 1.2106,                0.83868,                0.00446,                      1,                0.97305,                0.74064,                0.72728,                 2.9622,                0.83812,               0.050391,              0.0053911,              0.0053911
                      7,                0.80084,                 1.0828,                0.83992,                0.00446,                      1,                0.97772,                0.73292,                0.84337,                 2.9469,                0.84404,               0.043154,              0.0061545,              0.0061545
                      8,                0.78893,                 1.0496,                0.88388,                      1,                0.44028,                0.97759,                0.75323,                0.81685,                 2.7675,                0.89596,               0.035913,              0.0069126,              0.0069126
                      9,                0.80806,                 1.0804,                0.89509,                0.99177,                0.50859,                0.99475,                0.76001,                0.87179,                 2.1708,                0.87994,               0.028665,              0.0076654,              0.0076654
