                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99895,                 4.4154,                0.94643,                 0.0025,                0.76667,                0.00274,                0.00175,                0.66674,                 3.8607,                0.83001,                 0.0937,                 0.0007,                 0.0007
                      1,                0.70162,                 4.0442,                 0.8627,                0.00358,                      1,                0.00452,                0.00376,                0.59514,                 3.7415,                0.79602,               0.086495,               0.001495,               0.001495
                      2,                0.73434,                 2.4365,                0.85548,                0.00322,                0.93333,                0.21591,                 0.1564,                0.91399,                 3.5894,                 0.8471,               0.079285,              0.0022848,              0.0022848
                      3,                0.77344,                 2.6819,                0.84588,                0.00348,                      1,                0.30339,                 0.2379,                0.74443,                 3.4711,                0.82682,               0.072069,              0.0030693,              0.0030693
                      4,                 0.7388,                  1.733,                 0.8522,                0.00405,                      1,                0.50275,                0.34754,                0.91767,                 3.3607,                0.85484,               0.064849,              0.0038485,              0.0038485
                      5,                0.80583,                 1.6664,                0.87171,                0.00423,                0.99167,                0.54276,                0.36101,                0.86402,                 3.3697,                 0.8648,               0.057622,              0.0046225,              0.0046225
                      6,                0.80892,                 1.2512,                0.87397,                0.00453,                0.99167,                0.53455,                0.41184,                0.77751,                 3.2854,                0.85622,               0.050391,              0.0053911,              0.0053911
                      7,                0.75302,                 1.2151,                 0.8794,                      1,                 0.4549,                0.98754,                0.71719,                0.88769,                 2.6726,                0.87293,               0.043154,              0.0061545,              0.0061545
                      8,                0.79968,                 1.0916,                0.86456,                0.99081,                0.44495,                 0.7354,                0.54514,                0.92022,                 2.6488,                0.89081,               0.035913,              0.0069126,              0.0069126
                      9,                0.80127,                 1.1566,                0.88626,                0.89752,                0.49607,                0.97633,                0.70066,                0.95238,                 2.0176,                 0.8683,               0.028665,              0.0076654,              0.0076654
                     10,                0.80481,                 1.0942,                0.86551,                0.97653,                 0.7749,                  0.995,                0.71416,                 1.0312,                 1.5708,                0.97892,               0.021413,              0.0084129,              0.0084129
                     11,                0.82312,                 0.9147,                0.88685,                0.81315,                0.73811,                0.99356,                0.76654,                0.88121,                 1.5526,                 1.0089,               0.014155,              0.0091552,              0.0091552
                     12,                0.79968,                 1.1341,                 0.9079,                0.71816,                0.92332,                0.98565,                  0.698,                0.94536,                 1.3553,                 1.0509,               0.009604,               0.009604,               0.009604
                     13,                0.80918,                 1.0035,                0.92285,                0.74661,                0.84508,                0.99393,                0.68125,                 1.1189,                 1.6749,                 1.2756,               0.009604,               0.009604,               0.009604
                     14,                0.83458,                0.91822,                0.90867,                0.90023,                0.94388,                0.99443,                 0.6952,                0.97941,                 1.7314,                 1.0451,               0.009571,               0.009571,               0.009571
                     15,                0.79866,                0.87994,                0.92734,                0.77094,                0.92276,                0.98755,                0.76543,                0.85554,                 2.0731,                0.98229,               0.009538,               0.009538,               0.009538
                     16,                0.80746,                0.89135,                0.90767,                0.73712,                0.99167,                 0.9892,                 0.7665,                0.87844,                 3.4499,                 1.0317,               0.009505,               0.009505,               0.009505
                     17,                 0.7602,                0.87456,                0.89386,                 0.8051,                      1,                0.98662,                0.72305,                0.85123,                 2.3548,                 0.9715,               0.009472,               0.009472,               0.009472
