                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0226,                 7.3679,                0.89622,                0.04679,                0.48333,                 0.0527,                0.04266,                0.66581,                  3.227,                0.79962,                 0.0937,                 0.0007,                 0.0007
                      1,                0.94397,                 5.0153,                 0.8763,                0.99771,                      1,                  0.995,                0.89834,                0.47994,                 1.1457,                0.77948,               0.086485,              0.0014851,              0.0014851
                      2,                0.65612,                0.81451,                0.84736,                0.98356,                0.99739,                0.99484,                0.86487,                0.50118,                0.43951,                0.79559,               0.079254,              0.0022545,              0.0022545
                      3,                0.57589,                0.48499,                0.84322,                0.99848,                      1,                  0.995,                 0.9003,                0.44276,                0.43148,                0.78437,               0.072008,              0.0030079,              0.0030079
                      4,                0.59895,                0.45246,                 0.8529,                0.99904,                      1,                  0.995,                0.91693,                0.41693,                0.43708,                0.77691,               0.064746,              0.0037456,              0.0037456
                      5,                  0.582,                0.44437,                0.83157,                0.99911,                      1,                  0.995,                 0.9135,                0.43794,                 0.3583,                0.78944,               0.057467,              0.0044673,              0.0044673
                      6,                0.58551,                 0.4897,                0.84237,                0.99905,                      1,                  0.995,                0.90775,                0.40774,                0.49362,                0.78634,               0.050173,              0.0051733,              0.0051733
                      7,                0.59045,                0.44788,                0.84789,                0.99908,                      1,                  0.995,                0.89621,                0.45286,                 0.5662,                0.78862,               0.042863,              0.0058634,              0.0058634
                      8,                 0.5738,                 0.5306,                0.84061,                0.99912,                      1,                  0.995,                0.90762,                 0.3942,                0.49776,                0.77146,               0.035538,              0.0065377,              0.0065377
                      9,                0.65494,                 0.4841,                0.85187,                0.99903,                      1,                  0.995,                0.91617,                0.44025,                0.50484,                0.78478,               0.028196,              0.0071961,              0.0071961
                     10,                0.68915,                0.44528,                0.85399,                0.99883,                      1,                  0.995,                0.88784,                0.51138,                0.32355,                0.78695,               0.020839,              0.0078387,              0.0078387
