                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9426,                 7.0926,                 1.2298,                0.26878,                0.39823,                0.29954,                0.22912,                0.78203,                 2.6761,                0.83008,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.7869,                  6.545,                 1.2033,                0.94049,                   0.55,                0.73456,                0.65723,                0.49112,                 2.2662,                0.76658,               0.086351,              0.0013515,              0.0013515
                      2,                0.59837,                 1.2562,                0.83513,                      1,                0.99981,                  0.995,                0.92894,                0.34574,                0.56728,                0.77244,               0.078845,              0.0018446,              0.0018446
                      3,                 0.4852,                0.43812,                0.82223,                      1,                 0.9991,                  0.995,                0.93164,                  0.351,                0.35437,                0.76006,               0.071179,              0.0021793,              0.0021793
                      4,                0.44084,                0.36892,                0.80899,                0.99854,                      1,                  0.995,                0.92453,                0.37558,                0.37431,                0.75677,               0.063356,              0.0023556,              0.0023556
                      5,                0.42384,                0.34704,                0.80654,                      1,                 0.9999,                  0.995,                 0.9546,                0.29494,                0.34788,                0.76044,               0.055374,              0.0023735,              0.0023735
                      6,                0.39005,                0.32954,                0.80458,                0.99962,                      1,                  0.995,                0.91496,                0.40069,                0.38481,                0.77259,               0.047233,               0.002233,               0.002233
                      7,                0.38613,                0.31076,                0.80271,                0.99891,                      1,                  0.995,                0.93029,                0.34138,                 0.2887,                0.76353,               0.038934,              0.0019341,              0.0019341
                      8,                0.34626,                0.27455,                0.80712,                0.99905,                      1,                  0.995,                0.95443,                0.31835,                0.27666,                0.76324,               0.030477,              0.0014768,              0.0014768
                      9,                 0.3251,                0.26266,                0.82797,                0.99908,                      1,                  0.995,                 0.9688,                0.27624,                0.24455,                0.75667,               0.021861,              0.0008611,              0.0008611
